Period,Altman Z-Score
2106,30.22798642
2107,21.2459069
2108,18.87720269
2109,26.19731759
2110,24.41077378
2111,25.67653527
2112,41.52849905
2113,36.74096141
2114,17.960256
2115,54.0901535
2116,19.42569526
2117,11.49209809
2118,29.6472354
2119,10.79035614
2120,26.43989057
2121,14.24212736
2122,17.19718079
2123,19.40727331
2124,28.44448908
2125,21.4387495
2126,34.82600915
2127,19.79215291
2128,45.49466976
2129,23.28815224
2130,13.54572265
2131,13.31713097
2132,10.83622628
2133,13.40822315
2134,20.49458241
2135,69.72690101
2136,30.21381854
2137,49.59079372
2138,17.25153003
2139,18.44092595
2140,19.76981663
2141,12.69577021
2142,17.394363
2143,9.293811914
2144,137.7407213
2145,23.06337048
2146,36.10810946
2147,111.324942
2148,340.5483331
2149,92.3051807
2150,17.16539428
2151,150.2871914
2152,129.9712143
2153,26.55698324
2154,38.80309248
2155,30.22202812
2156,24.81530644
2157,14.25347307
2158,29.16600705
2159,15.25126287
2160,23.94721794
2161,38.8754249
2162,51.98531615
2163,25.18578476
2164,90.09475017
2165,23.42952568
2166,12.19037081
2167,44.68010123
2168,11.54911216
2169,28.81147363
2170,23.15805097
2171,22.72591791
2172,28.07377581
2173,47.56113025
2174,25.31182181
2175,20.72951266
2176,39.81926377
2177,14.12085019
2178,135.6009221
2179,38.0476626
2180,14.64290424
2181,9.35800885
2182,11.99543073
2183,10.17240828
2184,25.29048504
2185,77.46780875
2186,36.76362937
2187,86.32630529
2188,21.07694389
2189,22.49226725
2190,22.56394358
2191,15.45041879
2192,17.01772967
2193,9.958310288
2194,189.4571945
2195,29.03994188
2196,36.13096131
2197,90.60128616
2198,132.4796791
2199,178.2931762
2200,373.2099361
2201,23.4482607
2202,26.31570905
2203,29.1224769
2204,25.92867571
2205,24.85994997
2206,11.17655178
2207,41.44050737
2208,15.80702508
2209,21.84751741
2210,53.83049626
2211,103.8167408
2212,17.82517892
2213,117.9842525
2214,20.92624862
2215,11.53580227
2216,20.65622362
2217,16.91536735
2218,20.3329187
2219,13.99489481
2220,19.44191864
2221,40.47259394
2222,24.91798007
2223,31.15779979
2224,20.9190888
2225,22.01778289
2226,14.48378398
2227,28.34689719
2228,51.63929154
2229,23.22823996
2230,12.32684405
2231,10.2311814
2232,14.25516655
2233,22.36601236
2234,21.67972423
2235,37.14128336
2236,6.930252154
2237,25.35309158
2238,26.20169967
2239,22.5153419
2240,14.47022351
2241,20.57457523
2242,8.179113601
2243,68.31919927
2244,24.0837997
2245,44.44176449
2246,18.03367068
2247,38.74781595
2248,21.89546275
2249,457.3166947
2250,37.1305107
2251,30.03686103
2252,23.52719179
2253,25.04786855
2254,12.14297749
2255,51.42347447
2256,17.20275715
2257,21.58086245
2258,52.40990985
2259,135.3133136
2260,16.52681043
2261,37.498168
2262,18.16391701
2263,11.120051
2264,18.23503244
2265,11.91033501
2266,16.55874534
2267,17.28410725
2268,14.20607116
2269,20.33278174
2270,30.29113004
2271,22.95822078
2272,38.26499821
2273,16.09710869
2274,25.537478
2275,16.96088803
2276,26.15645601
2277,42.35004674
2278,27.66839571
2279,9.315356527
2280,8.860663569
2281,18.14344501
2282,16.8474917
2283,23.25098954
2284,31.14611543
2285,16.2277214
2286,20.21062136
2287,19.01951428
2288,18.03963938
2289,14.79499053
2290,13.85231448
2291,60.87194081
2292,17.33287812
2293,47.25737647
2294,10.56893638
2295,11.30191557
2296,8.895960957
2297,126.0236944
2298,178.3823945
2299,42.09670679
2300,32.71413308
2301,23.23851501
2302,24.47516946
2303,10.70728373
2304,43.41491533
2305,20.80477516
2306,26.64760967
2307,33.42860812
2308,37.53286875
2309,14.58435484
2310,36.20397351
2311,21.13891448
2312,10.26658906
2313,22.43774408
2314,9.600814888
2315,25.69155034
2316,17.99806949
2317,17.90256744
2318,33.90885185
2319,10.03941172
2320,21.50083149
2321,17.75623568
2322,48.03954361
2323,12.87170053
2324,26.41062615
2325,19.48084371
2326,28.03907268
2327,95.4959584
2328,30.67039007
2329,8.388917971
2330,14.44615993
2331,17.3734816
2332,22.76659992
2333,24.49796338
2334,32.21292901
2335,16.93855774
2336,19.96329249
2337,21.71131057
2338,17.31544607
2339,22.60541785
2340,8.041794195
2341,184.1763195
2342,10.44810251
2343,35.09174466
2344,12.4222109
2345,80.08269837
2346,inf
2347,53.822616
2348,49.53314899
2349,25.85862746
2350,25.28783786
2351,28.66194854
2352,9.477670631
